/* DATA DESCRIPTION:
Citation:	Arndt, Hartmut; Augustin, Nico; Wölfl, Anne-Cathrin (2017): Raw multibeam EM122 data: transits of METEOR cruise M139 (Tropical Atlantic). PANGAEA, https://doi.org/10.1594/PANGAEA.881298
Project(s):	Optimising and Enhancing the Integrated Atlantic Ocean Observing Systems (AtlantOS) (URI: https://www.atlantos-h2020.eu)
Coverage:	MEDIAN LATITUDE: 17.763254 * MEDIAN LONGITUDE: -43.699299 * SOUTH-BOUND LATITUDE: 10.339430 * WEST-BOUND LONGITUDE: -59.456880 * NORTH-BOUND LATITUDE: 23.757530 * EAST-BOUND LONGITUDE: -29.668110
	DATE/TIME START: 2017-07-17T15:10:28 * DATE/TIME END: 2017-08-05T19:19:40
Event(s):	M139-track * LATITUDE START: 9.350000 * LONGITUDE START: -79.920000 * LATITUDE END: 16.900000 * LONGITUDE END: -25.000000 * DATE/TIME START: 2017-07-09T00:00:00 * DATE/TIME END: 2017-08-07T00:00:00 * CAMPAIGN: M139 * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * DEVICE: Underway cruise track measurements (CT)
Comment:	Latitude/Longitude extracted from DSHIP.
	Data acquisition was performed using a multibeam sonar system Simrad EM-122 from Kongsberg. Raw data are delivered within Simrad current multibeam vendor format.
	SIMRAD raw data can be processed i.e. with the software packages CARIS HIPS/SIPS, Caraibes, QPS Qimera or with the open source software package MB-System (http://www.ldeo.columbia.edu/res/pi/MB-System/).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	LATITUDE (Latitude) * GEOCODE * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	LONGITUDE (Longitude) * GEOCODE * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	File name (File name) * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	File format (File format) * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	File size [kByte] (File size) * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de)
	Uniform resource locator/link to raw data file (URL raw) * PI: Wölfl, Anne-Cathrin (awoelfl@geomar.de) * METHOD: Swath-mapping system Simrad EM122 (Kongsberg Maritime AS)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC)
Size:	2608 data points
*/
Date/Time	Latitude	Longitude	File name	File format	File size [kByte]	URL raw
2017-07-17T15:10	20.21690	-59.45688	0000_20170717_151028_Meteor	ALL	1145	http://hs.pangaea.de/bathy/m139/EM122/0000_20170717_151028_Meteor.all
2017-07-17T15:12	20.21822	-59.45243	0002_20170717_151218_Meteor	ALL	20062	http://hs.pangaea.de/bathy/m139/EM122/0002_20170717_151218_Meteor.all
2017-07-17T15:42	20.23884	-59.38317	0003_20170717_154213_Meteor	ALL	20359	http://hs.pangaea.de/bathy/m139/EM122/0003_20170717_154213_Meteor.all
2017-07-17T16:12	20.25993	-59.31235	0004_20170717_161210_Meteor	ALL	20694	http://hs.pangaea.de/bathy/m139/EM122/0004_20170717_161210_Meteor.all
2017-07-17T16:42	20.28119	-59.24085	0005_20170717_164222_Meteor	ALL	20313	http://hs.pangaea.de/bathy/m139/EM122/0005_20170717_164222_Meteor.all
2017-07-17T17:12	20.30253	-59.16931	0006_20170717_171219_Meteor	ALL	20411	http://hs.pangaea.de/bathy/m139/EM122/0006_20170717_171219_Meteor.all
2017-07-17T17:42	20.32398	-59.09717	0007_20170717_174216_Meteor	ALL	20535	http://hs.pangaea.de/bathy/m139/EM122/0007_20170717_174216_Meteor.all
2017-07-17T18:12	20.34467	-59.02778	0008_20170717_181212_Meteor	ALL	20429	http://hs.pangaea.de/bathy/m139/EM122/0008_20170717_181212_Meteor.all
2017-07-17T18:42	20.36604	-58.95592	0009_20170717_184209_Meteor	ALL	20516	http://hs.pangaea.de/bathy/m139/EM122/0009_20170717_184209_Meteor.all
2017-07-17T19:12	20.38790	-58.88249	0010_20170717_191222_Meteor	ALL	20280	http://hs.pangaea.de/bathy/m139/EM122/0010_20170717_191222_Meteor.all
2017-07-17T19:42	20.40924	-58.81074	0011_20170717_194218_Meteor	ALL	20569	http://hs.pangaea.de/bathy/m139/EM122/0011_20170717_194218_Meteor.all
2017-07-17T20:12	20.43050	-58.73927	0012_20170717_201215_Meteor	ALL	20630	http://hs.pangaea.de/bathy/m139/EM122/0012_20170717_201215_Meteor.all
2017-07-17T20:42	20.45176	-58.66773	0013_20170717_204212_Meteor	ALL	20798	http://hs.pangaea.de/bathy/m139/EM122/0013_20170717_204212_Meteor.all
2017-07-17T21:12	20.47348	-58.59474	0014_20170717_211224_Meteor	ALL	19756	http://hs.pangaea.de/bathy/m139/EM122/0014_20170717_211224_Meteor.all
2017-07-17T21:42	20.49445	-58.52418	0015_20170717_214213_Meteor	ALL	19973	http://hs.pangaea.de/bathy/m139/EM122/0015_20170717_214213_Meteor.all
2017-07-17T22:12	20.51567	-58.45294	0016_20170717_221220_Meteor	ALL	20019	http://hs.pangaea.de/bathy/m139/EM122/0016_20170717_221220_Meteor.all
